epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5671,1.67127,2.44603,1.14016,0.20271,0.39269,0.23602,0.09933,1.87518,2.48788,1.27136,0.000225,0.000225,0.000225
2,17.4915,1.49294,1.04642,1.04918,0.5503,0.51743,0.49479,0.24417,1.58296,1.27847,1.15589,0.000453342,0.000453342,0.000453342
3,22.3943,1.45452,0.91619,1.0489,0.6493,0.54356,0.57153,0.31106,1.42632,1.05806,1.12049,0.00067228,0.00067228,0.00067228
4,27.5457,1.41691,0.85502,1.04055,0.58781,0.5753,0.51819,0.28723,1.41838,1.31361,1.14108,0.000881812,0.000881812,0.000881812
5,32.3618,1.42621,0.84537,1.04843,0.49307,0.4873,0.44452,0.21983,1.54271,1.34155,1.23751,0.00108194,0.00108194,0.00108194
6,37.3824,1.43474,0.83638,1.04794,0.60627,0.54286,0.53673,0.29219,1.43617,1.3083,1.17127,0.00112625,0.00112625,0.00112625
7,42.0736,1.3521,0.80529,1.0344,0.79497,0.6255,0.68016,0.3593,1.53005,1.03513,1.14554,0.0011015,0.0011015,0.0011015
8,46.926,1.37089,0.79009,1.03429,0.73548,0.62577,0.66696,0.35383,1.49001,0.92834,1.15479,0.00107675,0.00107675,0.00107675
9,51.6628,1.33377,0.74208,1.01664,0.81225,0.68926,0.73069,0.40825,1.43905,0.86993,1.12408,0.001052,0.001052,0.001052
10,56.5851,1.35944,0.7397,1.02135,0.82325,0.69256,0.75775,0.41148,1.40734,0.77974,1.13525,0.00102725,0.00102725,0.00102725
11,61.3612,1.30675,0.72379,1.01441,0.82266,0.68429,0.76395,0.41519,1.40243,0.77024,1.10157,0.0010025,0.0010025,0.0010025
12,66.2177,1.31205,0.69855,1.0043,0.86762,0.76062,0.82468,0.48253,1.30713,0.6791,1.06409,0.00097775,0.00097775,0.00097775
13,71.1129,1.30577,0.7086,1.00773,0.86983,0.74047,0.80286,0.466,1.35085,0.71496,1.08365,0.000953,0.000953,0.000953
14,75.8328,1.27751,0.68568,1.00115,0.87723,0.7299,0.80719,0.46879,1.3516,0.69795,1.07754,0.00092825,0.00092825,0.00092825
15,80.4791,1.2728,0.6739,1.0043,0.88872,0.75148,0.82855,0.48944,1.32166,0.66818,1.07714,0.0009035,0.0009035,0.0009035
16,85.541,1.28185,0.67623,1.00241,0.91385,0.72303,0.81899,0.46767,1.39458,0.69491,1.09161,0.00087875,0.00087875,0.00087875
